ID,Sand %,Clay %,Silt %,pH,N,P,K
1,42,38,20,5.16,14.46,18.61,147
2,54,26,20,6.07,14.59,32.74,180
3,28,36,36,6.92,14.91,19.02,183
4,58,20,22,7.7,4.21,6.28,116
5,33.2,41.2,25.6,7.61,6.11,6.55,228
6,29.2,46.8,24,6.5,6.02,14.31,231
7,37.2,34.8,28,6.47,35.56,14.45,183
8,26.8,47.2,26,5.7,4.78,12.1,270
9,29.2,44.8,26,6.06,3.51,10.02,210
10,31.2,32.8,36,7.55,9.03,4.89,159
11,29.6,44.8,25.6,7.5,6.7,5.58,375
12,43.2,26.8,30,6.63,5.68,14.17,126
13,47.2,28.8,24,6.88,4.35,5.58,150
14,51.6,20.8,27.6,7.79,4.21,2.67,104
15,42,24,34,7.95,2.91,15.07,169
16,18,38,44,7.85,2.55,16.53,334
17,22,42,36,7.76,1.06,15.97,245
18,32,36,32,7.79,2.16,14.12,287
19,32,18,50,7.76,11.36,37,164
20,32,22,46,7.44,2.69,8.13,129
21,42,20,38,7.89,9.2,10.17,151
22,28,42,30,7.75,2.47,7.78,282
23,14,58,28,7.53,4.05,10.74,517
24,26,38,36,8.03,3.39,1.69,255
25,14,58,28,7.21,2.29,8.55,402
26,42,36,22,7.15,2.16,46.89,477
27,24,52,24,7.73,0.88,8.38,364
28,34,40,26,5.92,1.14,7.08,168
29,18,44,38,7.69,1.23,4.08,347
30,26,28,46,7.6,0.48,3.28,374
31,36,22,42,8.01,2.86,3.18,154
32,32,22,46,7.95,2.77,4.02,196
33,34,40,26,6.15,8.72,11.97,197
34,36,36,28,5.69,1.45,8.1,148
35,40,28,32,7.86,5.81,7.27,210
36,52,16,32,8.07,8.28,7.18,246
37,26,42,32,7.81,6.56,4.65,273
38,40,26,34,7.8,4.27,7.76,184
39,30,44,26,6.62,3.7,8.63,156
40,16,44,40,7.22,3.08,7.86,221
41,34,30,36,7.84,14.4,59.29,1208
42,14,40,46,8.05,3.83,3.28,97
43,12,54,34,7.8,3.96,4.14,274
44,18,44,38,7.79,4.49,14.16,361
45,22,32,46,7.96,4.98,14.39,694
46,22,38,40,7.88,4.58,11.04,795
47,26,34,40,7.89,4.4,9.78,570
48,38,28,34,8.12,5.06,7.87,306
49,14,34,52,7.93,5.5,20.09,392
50,16,52,32,7.79,7.88,6.29,332
51,34,30,36,6.17,3.65,56.84,228
52,36,28,36,6.69,2.86,56.86,160
53,30,28,42,5.11,1.89,16.66,74
54,28,34,38,5.34,4.36,11.94,89
55,10,34,56,7.79,4.67,3.01,160
56,26,30,44,7.99,8.98,3.19,174
57,24,30,46,8.08,6.74,2.61,128
58,10,48,42,7.84,10,2.19,330
59,16,32,52,7.9,8.85,3.68,317
60,34,24,42,7.98,9.03,3.89,249
61,22,24,54,7.97,10.7,2.34,146
62,14,44,42,7.84,11.27,12.09,518
63,36,24,40,6.4,3.79,4.94,100
64,48,18,34,5.89,3.3,8.29,80
65,48,16,36,5.54,3.39,8.06,118
66,30,26,44,6.21,3.35,4.75,119
67,38,24,38,6.18,0.84,18.49,196
68,32,32,36,6.99,2.51,6.3,205
69,30,28,42,7.67,14.05,8.55,549
70,30,26,44,7.83,8.06,4.66,180
71,24,34,42,7.83,4.54,2.74,203
72,20,32,48,7.85,3.52,4.88,237
73,62,22,16,7.37,7.27,4.29,115
74,48,24,28,8.16,5.11,5.46,266
75,26,42,32,7.77,7.22,9.08,303
76,24,50,26,8.02,19.81,4.1,221
77,28,50,22,8.12,1.63,2.95,269
78,38,34,28,6.34,5.59,8.28,150
79,48,22,30,7.63,1.94,5.85,138
80,40,22,38,8.02,3.48,2.84,146
81,38,26,36,7.95,3.87,8.43,114
82,34,32,34,7.14,4.01,9.05,169
83,42,26,32,7.83,2.73,6.19,112
84,46,24,30,7.52,0.18,4.4,127
85,36,26,38,8.09,3.83,4.84,126
86,42,22,36,8.02,6.16,9.11,98
87,44,24,32,7.97,0.66,9.42,94
88,42,26,32,7.63,0.31,10.12,151
89,34,28,38,8.14,12.81,4.01,103
90,44,24,32,7.44,4.89,6.71,202
91,34,36,30,6.7,1.36,9.87,189
92,34,32,34,7.23,2.69,9.69,227
93,30,26,44,7.87,6.34,7.65,333
94,16,40,44,7.89,5.5,9.3,698
95,44,20,36,8.07,7.79,20.42,465
96,14,42,44,7.93,6.34,5.3,334
97,40,20,40,8.12,2.47,4.46,117
98,18,40,42,7.84,0.18,4.28,400
99,38,28,34,7.88,8.76,10.76,161
100,10,58,32,7.89,6.78,6.29,407
101,34,30,36,5.58,1.5,9,130
102,42,28,30,7.82,5.72,3.58,156
103,22,44,34,7.05,15.41,9.77,302
104,20,38,42,7.15,10.22,14.71,463
105,28,38,34,6.36,5.15,30.19,297
106,28,36,36,7.5,9.51,28.01,728
107,34,24,42,7.38,4.32,18.32,450
108,16,44,40,7.52,11.4,16.35,319
109,30,30,40,7.6,12.02,15.54,299
110,10,38,52,7.89,17.22,12.17,688
111,24,38,38,7.85,20.47,10.86,1091
112,14,44,42,7.43,6.47,34.41,386
113,16,48,36,7.57,6.52,10.11,498
114,36,32,32,7.58,8.1,20.09,268
115,20,44,36,7.51,57.77,6.13,325
116,18,44,38,7.67,13.21,12.85,781
117,24,24,52,7.69,11.18,14.39,481
118,40,22,38,7.01,4.62,13.17,231
119,28,32,40,7.37,16.29,33.91,376
120,32,30,38,7.38,11.36,41.73,286
121,54,10,36,7,13.39,5.67,91
122,26,42,32,7.17,2.42,15.09,235
123,22,48,30,5.56,2.38,13.87,267
124,26,42,32,5.29,4.32,17.54,166
125,32,36,32,5.87,2.25,4.36,160
126,22,52,26,6.25,7,19.82,289
127,22,52,26,6.45,6.78,16.79,220
128,26,48,26,6.54,6.21,13.4,185
129,22,40,38,7.5,8.15,9.31,376
130,24,44,32,7.38,9.11,10.56,409
131,46,28,26,8,5.28,7.16,205
132,44,30,26,7.57,5.2,16.47,236
133,42,30,28,7.83,4.32,10.18,439
134,40,22,38,7.85,35.48,80.66,831
135,48,28,24,7.69,8.28,15.96,382
136,34,38,28,7.99,3.08,16.05,364
137,30,44,26,7.94,7.13,8.66,358
138,20,42,38,7.95,5.86,7.32,469
139,34,24,42,5.79,5.55,14.59,133
140,36,22,42,6.78,6.65,26.77,116
141,56,22,22,7.71,9.42,13.34,160
142,48,32,20,6.77,2.42,13.55,207
143,34,24,42,7.07,7.18,15,142
144,32,36,32,5.59,3.61,22.99,219
145,22,38,40,7.93,6.87,10.24,193
146,16,44,40,7.8,14.05,22.26,479
147,22,32,46,8.01,8.32,16.49,363
148,38,20,42,8.15,3.87,10.72,102
149,36,20,44,7.99,5.94,9.49,174
150,30,30,40,8.04,3.87,3.86,282
151,28,28,44,7.95,12.9,18.02,1190
152,10,32,58,7.98,9.91,22.46,427
153,10,40,50,7.96,12.81,15.46,536
154,16,24,60,8.1,9.42,17.76,347
155,22,28,50,8.13,3.48,3.74,140
156,26,30,44,8.1,6.87,12.06,248
157,22,46,32,7.89,5.2,17.96,748
158,24,36,40,8,10.52,13.36,972
159,38,24,38,7.96,12.55,7.18,561
160,28,26,46,8.06,13.39,8.25,243
161,30,34,36,8.05,7.44,13.24,214
162,26,24,50,8.16,10.88,8.22,138
163,28,16,56,8.14,8.01,7.42,72
164,24,52,24,5.75,6.69,16.61,180
165,28,28,44,7.96,7.57,10.97,248
166,16,50,34,7.88,9.95,6.61,517
167,14,48,38,8.2,7.93,7.42,313
168,26,52,22,6.3,11.71,21.74,243
169,30,46,24,5.85,4.84,23.57,179
170,30,46,24,6.28,4.58,25.28,258
171,24,50,26,6.65,9.2,8.56,216
172,18,56,26,6.88,6.65,8.02,235
173,58,12,30,7.95,12.02,11.23,67
174,26,56,18,6.69,5.59,9.09,265
175,20,52,28,7.94,10.61,5.54,501
176,30,44,26,8.02,6.96,11.74,422
177,34,44,22,7.94,20.12,142.1,1420
178,20,56,24,8.03,10.44,12.19,488
179,24,50,26,7.9,11.67,5.28,560
180,24,56,20,7.05,11.49,1.71,298
181,26,54,20,6.8,6.74,7.02,182
182,30,50,20,6.65,7.22,4.41,215
183,20,58,22,6.6,11.8,5.08,317
184,22,56,22,6.29,8.98,1.59,218
185,30,50,20,6.88,19.68,4.37,148
186,28,48,24,6.69,7,4.14,222
187,38,40,22,6.87,7.22,4.86,217
188,28,54,18,6.83,6.3,7.95,214
189,40,34,26,7.13,4.32,7.54,165
190,36,40,24,7.82,4.62,7.39,198
191,34,44,22,7.77,4.8,6,163
192,30,50,20,7.38,4.18,11.18,218
193,28,50,22,6.99,23.56,6.2,211
194,40,40,20,6.97,12.95,5.52,252
195,36,38,26,7.52,5.64,3.01,168
196,40,38,22,7.33,11.85,2.55,155
197,40,38,22,7.44,4.8,5.58,183
198,52,30,18,7.89,4.01,4.33,185
199,40,36,24,7.2,4.49,1.07,147
200,26,40,34,7.13,16.03,63.96,521
201,30,38,32,7.4,13.87,14.69,304
202,34,34,32,7.39,8.06,8.2,174
203,22,38,40,7.77,9.07,4.05,212
